Polpa de tamarindo,Polpa de Frutas
Quiabo,Legumes
Rabanete,Legumes
Repolho roxo,Verduras
Repolho verde,Verduras
Rúcula,Verduras
Sabugueiro,Plantas/Ervas Medicinais
Salsa,Verduras
Salsão,Verduras
Saputi,Frutas
Seriguela,Frutas
Sálvia,Plantas/Ervas Medicinais
Taioba,Plantas/Ervas Medicinais
Tamarindo,Frutas
Tomate,Legumes
Tomate cereja,Legumes
Urucum,Plantas/Ervas Medicinais
Uva isabel,Frutas
Xambá,Plantas/Ervas Medicinais
Abóbora,Legumes
Brócolis,Legumes
Berinjela,Legumes
Gerimum,Legumes
Melão,Legumes
Tomate cereja,Legumes
Tomate cajá,Legumes
Tomate salada,Legumes
Repolho,Legumes
Couve folha verde,Folhosas
Couve folha mantega,Folhosas
Shingezai,Folhosas
Batata doce,Tubérculos
Inhame,Tubérculos
Araruta,Tubérculos
Abacaxi,Frutas
Amora,Frutas
Banana comum,Frutas
Banana maçã,Frutas
Banana caixão,Frutas
Cana de açúcar,Frutas
Limão Taiti,Frutas
Laranja mimo,Frutas
Laranja pera,Frutas
Manga,Frutas
Manguito,Frutas
Manga tome,Frutas
Mamão comum,Frutas
Mamão havaí,Frutas
Fruta pão,Frutas
Sapoti,Frutas
Sapota,Frutas
Ovos,Pecuária
Galinha viva,Pecuária
Bolo de mandioca,Produtos beneficiados
Bolo de macaxeira,Produtos beneficiados
Bolo de banana,Produtos beneficiados
Bolo de cenoura,Produtos beneficiados
Bolo de maracujá,Produtos beneficiados
Bolo de cacau,Produtos beneficiados
Bolo de milho,Produtos beneficiados
Beju seco,Produtos beneficiados
Beju de coco,Produtos beneficiados
Biscoito povilha,Produtos beneficiados
Biscoito milho,Produtos beneficiados
Balacha integral,Produtos beneficiados
Bolacha de alho poró 100g,Produtos beneficiados
Barra de cereais,Produtos beneficiados
Macarão,Produtos beneficiados
Conservas em pote,Produtos beneficiados
Doces diversos,Produtos beneficiados
Goma de mandioca,Produtos beneficiados
Tapioca,Produtos beneficiados
Molhos de pimenta,Produtos beneficiados
Farinha temperada,Produtos beneficiados
Pé de Moleque,Produtos beneficiados
Canjica,Produtos beneficiados
Polpa de fruta 300 ml,Produtos beneficiados
Pastel de batata doce,Produtos beneficiados
Suco verdes e diversos,Produtos beneficiados
Suco 300 ml,Produtos beneficiados
Pão de macaxeira,Produtos beneficiados
Pão de batata doce,Produtos beneficiados
Pão de gerimum,Produtos beneficiados
Pão de cenoura,Produtos beneficiados
Pão de alho poró,Produtos beneficiados
Pão recheado,Produtos beneficiados
Geleia de pitanga,Produtos beneficiados
Geleia de Acerola,Produtos beneficiados
Geleia de manga,Produtos beneficiados
Geleia de pimenta,Produtos beneficiados
Kit legumes,Produtos beneficiados
Sal de ervas,Produtos beneficiados
Torta de legumes,Produtos beneficiados
Torta de macaxeira,Produtos beneficiados
Torta de cenoura e curcuma,Produtos beneficiados
Conserva pimenta biquinho,Produtos beneficiados
Conserva pimenta malagueta,Produtos beneficiados
Conserva pimenta hananero,Produtos beneficiados
Conserva pimenta cambucim,Produtos beneficiados
Conserva pimenta cheiro,Produtos beneficiados
Chip batata doce,Produtos beneficiados
Molho de tomate,Produtos beneficiados
Empadas,Produtos beneficiados
Conserva mista,Produtos beneficiados
Açafrão da terra,Produtos beneficiados
Coloral,Produtos beneficiados
Extrato,Produtos beneficiados
Sanduíche abobrinha,Produtos beneficiados
Sanduíche batata doce,Produtos beneficiados
Ovos caipira,Pecuária
Galinha caipira,Pecuária
